City,Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Year Built,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Closed Date,Days on Market
McCall,Jug Mountain Ranch Phase 1 Stage 1,0.46,Yes,Yes,4,3.5,3672,11 - 20 Years,2004,Two,Unknown,Slab,"Fireplace, Propane Fire Place, Radiant, Wood Stove",Community,Community,1300000.0,1/8/2024,232
Donnelly,McLeod and Edwards Wagon Wheel 8,1.0313,No,Yes,3,3.0,2400,11 - 20 Years,2010,Three,Unknown,Concrete Perimeter,"Fireplace, Propane Fire Place, Propane Forced Air",NLSD,Well,1100000.0,8/18/2023,107
McCall,Blackhawk Lake Estates 2,1.89,Yes,Yes,3,3.5,3289,6 - 10 Years,2017,Two,Unknown,"Concrete Perimeter, Slab","Heat Pump, Propane Fire Place, Propane Forced Air",Septic Installed,Well,1635000.0,7/12/2023,51
McCall,River,0.31,Yes,Yes,6,6.0,3168,31 - 50 Years,1974,Unknown,Two,Concrete Perimeter,"Elec Baseboard, Heat Pump, Propane Fire Place",City,Public,885000.0,8/14/2023,84
McCall,West Place,2.0,No,Yes,4,3.0,2714,21 - 30 Years,1999,Five or More,Unknown,Unknown,"Elec Forced Air, Propane Fire Place",Septic Installed,Well,1250000.0,8/15/2023,83
Donnelly,Mountain Meadows 3,0.8058,No,Yes,3,2.0,2073,11 - 20 Years,2007,Five or More,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",NLSD,Well,855000.0,12/8/2023,198
McCall,Unknown,38.201,Yes,Yes,3,2.0,2258,51 - 80 Years,1970,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace Insert",Septic Installed,Well,1525000.0,8/25/2023,93
McCall,Aspen Ridge 3,0.14,Yes,Yes,3,2.0,1560,1 - 5 Years,2020,One,Unknown,Slab,"Elec Forced Air, Fireplace, Wood Stove",PLSWD,Public,690000.0,8/8/2023,75
McCall,Payette Lake Club,0.309,No,Yes,5,3.0,3470,Unknown,1980,Two,Unknown,Unknown,"Elec Baseboard, Wood Stove",City,Shared Well,1425000.0,8/2/2023,69
McCall,Courtney Estates,5.41,No,Yes,1,1.5,1099,11 - 20 Years,2002,Two,Unknown,Slab,"Elec Forced Air, Heat Pump, Wood Stove",Septic Installed,Well,825000.0,8/22/2023,89
McCall,West Place,2.04,Yes,Yes,3,2.5,2980,11 - 20 Years,2009,Two,Unknown,Concrete Perimeter,"Propane Forced Air, Wood Stove",Septic Installed,Well,969185.0,7/26/2023,63
McCall,Greystone Village 3,0.0,Yes,Yes,3,2.0,1064,11 - 20 Years,2007,One,Unknown,Concrete Perimeter,"Fireplace, Wall Heater",City,Public,505000.0,2/16/2024,266
McCall,Brookdale Meadows Phase 2,3.412,No,Yes,3,2.0,1621,11 - 20 Years,2004,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",Septic Installed,Well,680000.0,7/24/2023,57
Donnelly,Whistler's Cove,0.33,No,Yes,3,3.0,1988,Under Construction,2023,Two,Unknown,Concrete Perimeter,Elec Forced Air,City,Well,775000.0,12/20/2023,205
