Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Days on Market,City_Donnelly,City_McCall,Closed Year,Closed Month,Closed Day
98,4.68,1,1,3,3.0,2860,1,2,0,2,27,7,8,1127500.0,57,False,True,2023,8,18
30,0.0,1,1,3,2.0,1064,1,1,0,2,59,0,4,455000.0,147,False,True,2023,11,17
99,0.35,0,0,4,3.0,2495,8,3,0,2,19,0,8,950000.0,76,True,False,2023,9,12
59,1.38,0,1,4,2.5,2980,2,3,0,2,33,7,8,800000.0,91,False,True,2023,9,27
76,0.2707,1,1,3,3.0,2372,5,2,0,2,25,5,4,1150000.0,77,False,True,2023,9,12
17,4.2,0,1,2,2.5,1248,2,2,0,2,17,7,8,710000.0,48,False,True,2023,8,16
99,0.37,0,1,4,3.0,2541,8,3,0,2,19,0,8,880000.0,180,True,False,2023,12,29
77,0.534,1,1,4,3.0,2174,4,0,2,4,12,5,5,685000.0,50,False,True,2023,8,21
31,0.34,1,1,4,3.5,3739,1,3,0,2,20,3,1,1250000.0,48,True,False,2023,8,16
23,0.22,1,1,5,3.5,2785,1,2,0,4,39,5,4,859500.0,267,False,True,2024,3,26
80,0.3122,1,1,4,4.5,2794,1,2,0,2,19,3,2,2075000.0,25,True,False,2023,7,31
22,0.161,0,1,2,1.0,1168,4,0,0,2,80,0,4,255000.0,53,True,False,2023,8,28
88,10.52,1,1,4,2.0,2801,1,0,0,2,30,7,8,1025000.0,338,False,True,2024,6,14
59,1.67,0,1,2,1.0,1283,0,0,0,8,67,7,8,610000.0,190,False,True,2024,1,19
86,0.198,1,1,3,2.5,2136,3,2,0,2,10,0,4,650000.0,306,False,True,2024,5,15
42,0.48,1,1,3,3.0,2440,3,0,0,2,64,3,8,675000.0,87,True,False,2023,10,10
79,1.07,1,1,4,5.0,4495,1,2,1,2,34,3,2,4000000.0,78,True,False,2023,10,2
89,1.79,1,1,3,2.5,1925,2,4,2,2,25,7,8,877600.0,19,False,True,2023,8,7
99,0.367,1,1,3,3.0,1988,8,3,0,2,19,0,8,747500.0,267,True,False,2024,4,12
99,0.368,0,0,3,2.0,1617,8,2,0,2,18,0,8,690000.0,28,True,False,2023,8,17
48,0.207,1,1,5,4.5,2946,7,2,0,2,46,5,4,1255000.0,102,False,True,2023,10,31
83,0.22,1,1,3,2.0,972,3,2,0,1,10,5,4,510000.0,40,False,True,2023,9,1
79,0.153,1,1,3,3.5,2400,1,2,0,2,74,3,2,1995000.0,229,True,False,2024,3,12
